Rk,Player,Age,Team,Pos,G,GS,MP,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,WIN %,VALUE,AAV,Salary,,,Max Salary,Multipler
279,Gary Payton II,32,GSW,SG,62,11,927,0.635,16.1,1.5,1.5,3,0.155,-0.5,2,1.4,0.8,0.585,0.222925313,22.38418693,"20,802,783",,,,
174,Jonas Valančiūnas,32,SAC,C,32,9,541,0.604,20.9,1.3,0.7,2.1,0.183,0.6,0.5,1.1,0.4,0.488,0.222549281,22.24833582,"20,676,529",,,,
286,Day'Ron Sharpe,23,BRK,C,50,2,907,0.568,19.9,1.3,1.4,2.7,0.141,0,0.9,0.9,0.7,0.317,0.221972522,22.11248472,"20,550,276",,,,
91,Jordan Poole,25,WAS,SG,68,68,2001,0.591,29,1.2,0.8,2,0.047,2,-1.6,0.4,1.2,0.22,0.210187018,21.97663361,"20,424,022",,,,
169,Sam Hauser,27,BOS,PF,71,19,1541,0.632,14.3,2.6,1.8,4.4,0.136,0.9,-0.1,0.8,1.1,0.744,0.208033105,21.8407825,"20,297,769",,,,
288,Tre Jones,25,2TM,PG,46,9,905,0.617,14.1,2.3,0.6,2.9,0.155,0.5,1,1.5,0.8,,0.203423009,21.7049314,"20,171,515",,,,
270,Kyle Anderson,31,2TM,PF,61,4,1002,0.538,15.9,1.3,1.5,2.8,0.135,-0.6,2.2,1.5,0.9,,0.201648869,21.56908029,"20,045,262",,,,
1,Mikal Bridges,28,NYK,SF,82,82,3036,0.585,19.6,3.7,2,5.7,0.09,0.4,-0.9,-0.5,1.2,0.622,0.200872747,21.43322918,"19,919,008",,,,
111,Cason Wallace,21,OKC,SG,68,43,1876,0.562,12.8,1.8,3.4,5.2,0.133,-1.5,2.6,1,1.5,0.829,0.196998974,21.29737807,"19,792,755",,,,
161,Caris LeVert,30,CLE,SF,38,3,904,0.58,18.1,1.3,1,2.3,0.124,0.5,0.7,1.2,0.7,0.78,0.191376464,21.16152697,"19,666,501",,,,
174,Jonas Valančiūnas,32,WAS,C,49,12,983,0.602,23.8,1.3,1,2.3,0.112,0.8,-0.5,0.4,0.6,0.22,0.186335808,21.02567586,"19,540,248",,,,
191,Zach Edey,22,MEM,C,66,55,1416,0.624,16.4,2.7,2.2,4.9,0.165,-0.2,0.1,-0.1,0.7,0.585,0.186187136,20.88982475,"19,413,995",,,,
