Rk,Player,Age,Team,Pos,G,GS,MP,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,WIN %,VALUE,AAV,ACE,SALARY,,
52,De'Aaron Fox,27,SAC,PG,45,45,1663,0.567,29.1,2.2,1.3,3.5,0.101,2,-0.8,1.2,1.3,0.488,0.474569817,28.60566449,28605664.49,34848340,,
140,Walker Kessler,23,UTA,C,58,58,1740,0.66,13.7,3.6,1.8,5.4,0.149,1.1,0.7,1.8,1.7,0.207,0.473222131,28.46949891,28469498.91,2965920,,
159,Isaiah Joe,25,OKC,SG,74,16,1604,0.617,17.2,2.9,2.2,5.1,0.153,1.4,-0.1,1.3,1.4,0.829,0.471627796,28.33333333,28333333.33,12991650,,
321,Jay Huff,26,MEM,C,64,2,748,0.666,19.6,1.6,1,2.5,0.162,2.5,1,3.5,1.1,0.585,0.469412362,28.19716776,28197167.76,2088033,,
358,Moritz Wagner,27,ORL,C,30,1,564,0.649,26.8,1,1,2,0.174,2.6,1.4,4,0.9,0.5,0.461639093,28.06100218,28061002.18,11000000,,
118,Andrew Wiggins,29,2TM,SF,60,60,1842,0.566,24.5,1.9,2.1,4,0.104,1.2,-0.3,0.9,1.4,,0.44859103,27.9248366,27924836.6,26276786,,
291,Chet Holmgren,22,OKC,C,32,32,877,0.599,22,1.1,2,3.2,0.173,0.5,1.9,2.4,1,0.829,0.444821193,27.78867102,27788671.02,10880640,,
19,Michael Porter Jr.,26,DEN,SF,77,77,2593,0.617,20.2,4.6,1.8,6.4,0.118,1.6,-1.7,-0.1,1.2,0.61,0.44362366,27.65250545,27652505.45,35859950,,
26,Brook Lopez,36,MIL,C,80,80,2546,0.624,15.8,3.6,2.9,6.6,0.124,0.4,0.4,0.8,1.8,0.585,0.439970498,27.51633987,27516339.87,23000000,,
282,Immanuel Quickley,25,TOR,PG,33,33,918,0.57,25.1,1.8,0.6,2.5,0.128,3.2,-1,2.2,1,0.366,0.434784087,27.38017429,27380174.29,32500000,,
299,Dereck Lively II,20,DAL,C,36,29,833,0.704,13.6,2.4,1,3.4,0.199,1.1,2.2,3.3,1.1,0.476,0.432598324,27.24400871,27244008.71,5014560,,
116,Trey Murphy III,24,NOP,SF,53,51,1854,0.598,23.7,3,0.5,3.5,0.091,2.1,-1.4,0.8,1.3,0.256,0.431133571,27.10784314,27107843.14,5159854,,
52,De'Aaron Fox,27,2TM,PG,62,62,2241,0.56,28.3,2.6,1.7,4.3,0.093,1.3,-1,0.4,1.3,,0.428133343,26.97167756,26971677.56,34848340,,
294,Chris Boucher,32,TOR,PF,50,0,862,0.615,21.2,1.7,1,2.7,0.148,2.9,-0.6,2.3,0.9,0.366,0.413822706,26.83551198,26835511.98,10810000,,
174,Jonas Valanciunas,32,2TM,C,81,21,1524,0.602,22.8,2.6,1.7,4.3,0.137,0.8,-0.1,0.6,1,,0.402331323,26.69934641,26699346.41,9900000,,
